,id,beta,Date,marketcap,type
2662,BTC,-0.138631261804292,2019-05-13,131146243699.5,crypto
2663,BTC,-0.1466147344433016,2019-05-14,141502656208.5,crypto
2664,BTC,-0.1315229121240768,2019-05-15,142588208729.98,crypto
2665,BTC,-0.1374852536857843,2019-05-16,141553479840.5,crypto
2666,BTC,-0.103274233083885,2019-05-17,128685621889.53,crypto
2667,BTC,-0.1263635434709355,2019-05-20,140040610750.72,crypto
2668,BTC,-0.1179688829258044,2019-05-21,140882010059.52,crypto
2669,BTC,-0.1165421231426698,2019-05-22,139782788351.9,crypto
2670,BTC,-0.1010464854201416,2019-05-23,136481884615.0,crypto
2671,BTC,-0.0983940565033493,2019-05-24,141443169576.0,crypto
2672,BTC,-0.125963233997012,2019-05-28,154717460787.68,crypto
2673,BTC,-0.1201478611581926,2019-05-29,153304086780.0,crypto
2674,BTC,-0.1181800834341188,2019-05-30,153088222281.54,crypto
2675,BTC,-0.1109644421981219,2019-05-31,148137067520.0,crypto
2676,BTC,-0.1185560071536038,2019-06-03,151354500251.84,crypto
2677,BTC,-0.2216011938403121,2019-06-04,139326916287.0,crypto
2678,BTC,-0.2109157994124005,2019-06-05,137950431083.52,crypto
2679,BTC,-0.2165559111255634,2019-06-06,137557105532.28,crypto
2680,BTC,-0.1947554974339205,2019-06-07,140885519343.75,crypto
2681,BTC,-0.1970942281852274,2019-06-10,138801629396.75,crypto
2682,BTC,-0.1913263591055067,2019-06-11,140194910838.24002,crypto
2683,BTC,-0.1912212840449271,2019-06-12,142701498531.75998,crypto
2684,BTC,-0.18869954677663,2019-06-13,145081305733.91998,crypto
2685,BTC,-0.1937665300501618,2019-06-14,148349622192.03,crypto
2686,BTC,-0.1885274280903109,2019-06-17,164014835305.44,crypto
2687,BTC,-0.198527367000343,2019-06-18,162597066384.75998,crypto
2688,BTC,-0.212345695986533,2019-06-19,162513404338.95,crypto
2689,BTC,-0.1974718553167925,2019-06-20,166183159214.75998,crypto
2690,BTC,-0.1940938559694011,2019-06-21,174207865318.5,crypto
2691,BTC,-0.2057914688544814,2019-06-24,192819723227.34,crypto
2692,BTC,-0.2292088541242236,2019-06-25,201214546203.11002,crypto
2693,BTC,-0.2353362834848905,2019-06-26,224968041614.61002,crypto
2694,BTC,-0.27277863770067,2019-06-27,209928860430.57,crypto
2695,BTC,-0.230105745804791,2019-06-28,207791460302.5,crypto
2696,BTC,-0.285985612627877,2019-07-01,190268258406.75,crypto
2697,BTC,-0.2754756211157734,2019-07-02,183359121031.16,crypto
2698,BTC,-0.2754749364245034,2019-07-03,201920211529.0,crypto
2699,BTC,-0.2747026328038021,2019-07-05,198304660364.25,crypto
2700,BTC,-0.2948774775559387,2019-07-08,210003005440.91998,crypto
2701,BTC,-0.2949865315997877,2019-07-09,222843680904.04,crypto
2702,BTC,-0.3055103734108467,2019-07-10,225283051629.25,crypto
2703,BTC,-0.3213187589507478,2019-07-11,206320833841.11002,crypto
2704,BTC,-0.3166124336049461,2019-07-12,206368984762.8,crypto
2705,BTC,-0.3149703309175772,2019-07-15,185638892171.2,crypto
2706,BTC,-0.3005806970052088,2019-07-16,184579393997.25,crypto
2707,BTC,-0.3057418293756217,2019-07-17,170726611156.25,crypto
2708,BTC,-0.285909597562535,2019-07-18,179219727542.66998,crypto
